Name,Location,Contact,Rating,PRICE RANGE,CUISINES,MEALS,SPECIAL DIETS,FEATURES,id
Barrio Brixton,"30 Acre Lane, London SW2 5SG England",+44 20 7749 3940,4.5,5.97 - 12.94,"Mexican, Latin",,"Vegan Options, Gluten Free Options",,263
Pizza Sophia,"50 Tavistock Place, London WC1H 9RG England",+44 20 7833 8556,4.5,,"Italian, Neapolitan, Campania, Southern-Italian","Lunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options",,264
Passyunk Avenue,"80 Cleveland Street, London W1T 6NE England",+44 20 3960 2251,4.5,10.95 - 24.88,"American, Bar",,Gluten Free Options,,265
Inca London,"8-9 Argyll Street, London W1F 7TF England",+44 20 7734 6066,4.0,,"South American, Japanese Fusion, Latin, Spanish, Asian","Dinner, Late Night, Drinks",,"Reservations, Private Dining, Accepts Credit Cards",266
Sarava Creperie Bar & Cafe,"41-42 Coldharbour Lane Brixton Village Market, London SE5 9NR England",+44 20 7274 2211,4.5,3.98 - 10.95,"Brazilian, Fusion",,"Vegan Options, Gluten Free Options, Vegetarian Friendly",,267
Constancia,"52 Tanner Street, London SE1 3PH England",+44 20 7234 0676,4.5,,"Steakhouse, Barbecue, Argentinean, South American","Lunch, Dinner",Gluten Free Options,,268
Petek,"96 Stroud Green Road, London N4 3EN England",+44 20 7619 3933,4.5,9.95 - 14.93,"Mediterranean, European, Turkish, Middle Eastern",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,269
Aprés Food Co.,"72 St. John Street, London EC1M 4DT England",+44 20 7686 8888,4.5,4.97 - 17.92,"European, British, Healthy, Cafe",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,270
Railway Bell,"87 George Lane South Woodford, London E18 1JJ England",+44 20 8989 0229,4.5,,"Bar, British, Pub","Lunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options",,271
Clarette,"44 Blandford Street, London W1U 7HS England",+44 20 3019 7750,4.5,,"French, Wine Bar, European","Lunch, Dinner, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,272
Flat Iron Shoreditch,"77 Curtain Road, London EC2A 3BS England",Website,4.5,9.95 - 24.88,"Steakhouse, British",,Gluten Free Options,,273
Roux At The Landau,"1C Portland Place, London W1B 1JA England",+44 20 7965 0165,4.5,34.84 - 99.53,"French, European",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,274
The India - Best of the City,"Cannon Street 21 College Hill, London EC4R 2RP England",+44 20 7248 5855,5.0,9.95 - 29.86,"Indian, Asian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,275
Flat Iron Covent Garden,"17/18 Henrietta Street, London WC2E 8QH England",+44 20 3019 4212,4.5,7.91 - 19.78,"Steakhouse, European, British",,Gluten Free Options,,276
Paramount Lebanese Kitchen,"26 London Street, London W2 1HH England",+44 20 7262 1111,4.5,,"Lebanese, Mediterranean, Healthy, Middle Eastern","Lunch, Dinner","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,277
Kirvem,"663 Commercial Road, London E14 7LW England",+44 20 7001 1001,4.5,,"Mediterranean, European, Turkish, Middle Eastern","Breakfast, Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,278
Tigerbay Hanger Lane,"11 Royal Parade, London W5 1ET England",+44 20 3962 7600,4.5,2.99 - 19.91,"Lebanese, International, Mediterranean, Grill, Middle Eastern",,"Halal, Vegetarian Friendly",,279
Masala,"88 Brick Lane, London E1 6RL England",+44 20 7539 9448,4.0,14.93 - 24.88,Indian,,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,280
Chettinad Restaurant,"16 Percy Street Soho, London W1T 1DT England",+44 20 3556 1229,4.5,4.97 - 34.84,Indian,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,281
108 Brasserie,"108 Marylebone Lane, London W1U 2QE England",+442079693900,4.5,19.91 - 39.81,"European, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,282
Sheila's Cafe,"24A Craven Terrace Lancester Gate, London W2 3QH England",+44 20 7402 8065,4.5,,"Cafe, British","Breakfast, Lunch, Brunch, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,283
The Marquis,"51-52 Chandos Place, London WC2N 4HS England",+44 20 7379 0367,4.5,4.97 - 13.93,"Bar, British, Pub",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,284
The Wilmington,"69 Rosebery Avenue Clerkenwell, London EC1R 4RL England",+44 20 7837 1384,4.5,7.96 - 21.89,"Bar, British, Pub, Gastropub",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,285
Chimichurris,"132 Southwark Bridge Road, London SE1 0DG England",+44 20 7928 7414,5.0,13.93 - 33.84,"Steakhouse, Barbecue, Argentinean, Grill",,"Vegetarian Friendly, Gluten Free Options",,286
Flora Indica,"242 Old Brompton Road Earl's Court, London SW5 0DE England",+44 20 7370 4450,4.5,24.88 - 39.81,"Indian, Asian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,287
Cord by Le Cordon Bleu,"85 Fleet Street, London EC4Y 1AE England",+44 20 3143 6365,4.0,25.31 - 72.79,"French, International, European","Lunch, Dinner, Drinks",,,288
Portobello Garden Caffe,"Notting Hill 269B Portobello Road, London W11 1LR England",+44 20 7792 8419,4.5,,"Italian, Mediterranean, Sicilian, Southern-Italian","Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options",,289
STK Steakhouse Westminster,"30 John Islip Street The Westminster London, Curio Collection by Hilton, London SW1P 4DD England",+44 20 7233 7575,4.5,19.91 - 199.05,"Steakhouse, Seafood","Dinner, Lunch, Drinks",,,290
La Trompette,"3-7 Devonshire Road, London W4 2EU England",+44 20 8747 1836,4.5,23.89 - 48.77,"French, European",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,291
Omnino Leadenhall,"78-79 Leadenhall Street, London EC3A 3DH England",+44 20 7283 3926,4.5,17.92 - 44.78,"Steakhouse, Grill, Argentinean",,Gluten Free Options,,292
Tigerbay Hanger Lane,"11 Royal Parade, London W5 1ET England",+44 20 3962 7600,4.5,2.99 - 19.91,"Lebanese, International, Mediterranean, Grill, Middle Eastern",,"Halal, Vegetarian Friendly",,293
Flat Iron,"17 Beak Street Soho, London W1F 9RW England",Website,4.5,9.95 - 19.91,"Steakhouse, British",,Gluten Free Options,,294
Sunday Champagne Brunch at The Landmark London,"222 Marylebone Road The Landmark London, London NW1 6JQ England",+44 20 7631 8188,4.5,,"European, British","Breakfast, Lunch, Brunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options",,295
Nenno Pizza Restaurant,"14-16 Caledonian Road, London N1 9DU England",+44 20 7833 2790,4.5,14.93 - 29.86,"Italian, Pizza, European, Mediterranean",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,296
La Dame de Pic London,"10 Trinity Square Four Seasons Hotel London at Ten Trinity Square, London EC3N 4AJ England",+44 20 3297 3799,4.5,,"French, European","Lunch, Dinner, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,297
The Clerk and Well,"156 Clerkenwell Road, London EC1R 5DU England",+44 20 7837 8548,4.5,,"Bar, Pub","Lunch, Dinner, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,298
Pane Cunzato - Pizza & more,"49 Museum Street, London WC1A 1LY England",+44 20 3581 1747,4.5,9.95 - 14.93,"Italian, Pizza, Mediterranean, European, Sicilian, Southern-Italian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,299
Kitty Fisher's,"10 Shepherd Market, London W1J 7QF England",+44 20 3302 1661,4.5,,"European, British","Lunch, Dinner","Vegetarian Friendly, Gluten Free Options",,300
Visconti Of Westminster,"Marsham Court Marsham Street, London SW1P 4LA England",+44 20 8191 1781,5.0,17.92 - 51.76,"Italian, Bar, Mediterranean, Pub, Central-Italian, Southern-Italian","Lunch, Dinner, Drinks",,,301
Nonna Selena Pizzeria,"18 Woburn Place, London WC1H 0LN England",+44 20 7837 4748,4.5,,"Italian, Pizza, Neapolitan, Campania, Southern-Italian, European","Lunch, Dinner","Vegetarian Friendly, Vegan Options",,302
Roxie Steak - Earlsfield,"585 Garratt Lane Earlsfield, London SW18 4ST England",+44 20 8944 9602,4.5,,"Barbecue, Steakhouse","Lunch, Dinner, Late Night",Gluten Free Options,,303
Portland Restaurant,"113 Great Portland Street, London W1W 6QQ England",+44 20 7436 3261,4.5,,"European, British","Lunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options",,304
Twist Connubio,"42 Crawford Street, London W1H 1JW England",+44 20 7723 3377,4.5,29.86 - 64.69,"Mediterranean, European, Spanish, Fusion",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,305
Roxie Steak - Fulham,"803 Fulham Road Fulham, London SW6 5HE England",+44 20 7371 5785,4.5,24.53 - 37.18,"Barbecue, Steakhouse",,Gluten Free Options,,306
All Bar One Wimbledon,"37-39 Wimbledon Hill Road, London SW19 7NA England",+44 20 8946 9072,4.5,0.02 - 0.04,"Bar, British, International",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,307
Alexandrie Restaurant,"38C Kensington Church Street, London W8 4BX England",+44 20 7937 2244,4.5,5.97 - 36.82,"Mediterranean, Middle Eastern, Egyptian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,308
Cibo,"3 Russell Gardens, London W14 8EZ England",+44 20 7371 2085,4.5,,Italian,"Lunch, Dinner","Vegetarian Friendly, Gluten Free Options",,309
Flat Iron London Bridge,"112-116 Tooley Street, London SE1 2TH England",Website,4.5,9.95 - 24.88,"Steakhouse, British",,Gluten Free Options,,310
Sambuca Trafalgar Square,"3 Northumberland Avenue Trafalgar Square, London WC2N 5BW England",+44 20 3411 6858,4.5,,"Italian, Steakhouse, Bar, Pub","Lunch, Dinner",,"Takeout, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Accepts Discover, Accepts Credit Cards, Table Service, Family style, Non-smoking restaurants",311
St. Ermin's Tea Lounge,"2 Caxton Street St. Ermin's Hotel - Autograph Collection, London SW1H 0QW England",+44 20 7222 7888,4.5,29.86 - 44.78,British,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,312
Panas Gurkha Restaurant,"318 Lee High Road Lewisham, London SE13 5PJ England",+44 20 8852 9891,4.5,6.97 - 24.88,"Indian, Asian, Nepali",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,313
Kua 'Aina,"26 Fouberts Place, London W1F 7PP England",+44 20 7287 7474,4.5,7.96 - 14.93,"American, Bar, Hawaiian, Grill",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,314
Liz Cafe,"7 Goldhawk Road, London W12 8QQ England",+44 7984 660358,4.5,,"Cafe, British","Breakfast, Lunch, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options",,315
Bocas,"180 St. John Street, London EC1V 4JY England",+44 7474 734052,5.0,,"Argentinean, South American, Bar, Spanish, Pub, Fusion","Lunch, Dinner, Brunch, Late Night, Drinks",,"Reservations, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Table Service, Non-smoking restaurants",316
Honest Burgers Warren Street,"Warren St 117 Tottenham Court Road, London W1T 5AL England",+44 20 3597 6277,4.5,7.96 - 9.95,"Fast Food, American, British",,"Vegan Options, Vegetarian Friendly, Gluten Free Options",,317
Misto,"7 Shepherd Market Mayfair, London W1J 7PE England",+44 20 7629 3317,4.5,,"Italian, Pizza, Mediterranean, European","Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options",,318
RAPSA,"100-104 Hoxton Street, London N1 6SG England",+44 20 7729 1444,4.5,4.97 - 49.76,"Filipino, Asian, Vietnamese, Healthy",,"Vegetarian Friendly, Gluten Free Options",,319
Turmeric Kitchen London Paddington,"55 Westbourne Terrace, London W2 3UY England",+44 20 4542 4565,4.5,14.24 - 22.15,"Indian, European","Lunch, Dinner, Drinks",,,320
Clipstone,"Bolsover House 5 Clipstone Street, London W1W 6BB England",+44 20 7637 0871,4.5,24.88 - 49.76,"European, British",,"Vegetarian Friendly, Gluten Free Options, Vegan Options",,321
Bar Soho,"23-25 Old Compton Street, London W1D 5JL England",+44 20 7439 0439,4.0,,Bar,"Late Night, Drinks",,"Reservations, Seating, Serves Alcohol, Full Bar, Accepts Credit Cards",322
Browns Victoria,"2 Cardinal Walk Victoria, Cardinal Place, London SW1E 5JE England",+44 20 7821 1450,4.0,11.95 - 29.86,British,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,323
VICINITY,"St. Katharines Way Tower Hotel, London E1W 1LD England",+44 20 7206 7562,4.0,11.95 - 29.86,"European, British, International",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,324
imm Thai Fusion Wimbledon,"162 The Broadway, London SW19 1RX England",+44 20 8545 0021,4.5,14.93 - 49.76,"Asian, Thai, Vietnamese, Street Food",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,325
Honest Burgers - Camden,"Unit 34A Camden Lock Place Camden Lock Place, London NW1 8AF England",+44 20 3597 6259,4.5,7.96 - 9.95,"Fast Food, British",,"Vegan Options, Vegetarian Friendly, Gluten Free Options",,326
Terry's Cafe London,"158 Great Suffolk Street, London SE1 1PE England",+44 20 7407 9358,4.5,4.97 - 14.93,"Cafe, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,327
Turmeric Kitchen London Paddington,"55 Westbourne Terrace, London W2 3UY England",+44 20 4542 4565,4.5,14.24 - 22.15,"Indian, European","Lunch, Dinner, Drinks",,,328
Honest Burgers Portobello,"189 Portobello Road, London W11 2ED England",+44 20 8154 2095,4.5,7.96 - 12.94,Fast Food,,"Vegan Options, Vegetarian Friendly, Gluten Free Options",,329
Aphrodite Taverna,"15 Hereford Road, London W2 4AB England",+44 20 7229 2206,4.5,,"Mediterranean, Greek","Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options",,330
Mumbai Delight,"51A South Lambeth Road Vauxhall, London SW8 1RH England",+44 20 7091 0043,4.5,,"Indian, Asian","Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,331
Goodman Mayfair,"24-26 Maddox Street, London W1S 1QH England",+44 20 7499 3776,4.5,39.81 - 39.81,American,,Gluten Free Options,,332
Bustronome,"Coach Bay 40B, Victoria Embankment, London WC2N 6PB England",+44 20 3744 5554,5.0,64.69 - 149.29,"French, European, Contemporary, Fusion",,Vegetarian Friendly,,333
Honest Burgers - Borough,"5-7 Southwark Street, London SE1 1RQ England",+44 20 3096 9485,4.5,7.96 - 9.95,"American, British",,"Vegan Options, Vegetarian Friendly, Gluten Free Options",,334
Lost Souls Pizza Camden,"245 Eversholt Street, London NW1 1BA England",+44 20 7388 2101,5.0,4.97 - 10.95,Pizza,,"Vegetarian Friendly, Vegan Options",,335
The Schoolhouse,"137-139 St. John's Hill, London SW11 1TD England",+44 20 7223 6288,4.5,,"Bar, British, European","Breakfast, Lunch, Dinner, Brunch, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,336
Colonel Saab,"193-197 High Holborn, London Holborn Town Hall, London WC1V 7BD England",+44 20 8016 6800,4.5,34.84 - 59.72,"Indian, International, Contemporary","Lunch, Dinner, Late Night, Drinks",,,337
The Plume of Feathers,"19 Park Vista Greenwich, London SE10 9LZ England",+44 20 8858 1661,4.5,,"Bar, British, Pub, Gastropub","Lunch, Dinner, Brunch, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,338
La Piccola Deli Pasticceria,"270 Kensington High Street, London W8 6ND England",+44 20 7371 6003,4.5,1.99 - 29.86,"Cafe, European",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,339
Gola Restaurant,"787 Fulham Road Cucina Pugliese, London SW6 5HD England",+44 20 7751 0141,4.5,,"Italian, Pizza, Contemporary","Dinner, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,340
Popolo Shoreditch,"26 Rivington Street, London EC2A 3DU England",+44 20 7729 4299,4.5,,"Italian, Mediterranean",Dinner,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,341
Kashmir A Culinary Paradise,"18 Lacy Road Putney, London SW15 1NL England",+44 7477 533888,4.5,39.81 - 49.76,"Indian, Asian",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,342
Tigerbay Hanger Lane,"11 Royal Parade, London W5 1ET England",+44 20 3962 7600,4.5,2.99 - 19.91,"Lebanese, International, Mediterranean, Grill, Middle Eastern",,"Halal, Vegetarian Friendly",,343
Bella Vita,"53-57 Broadway Market, London E8 4PH England",+44 20 7249 4772,4.5,6.33 - 18.99,"Italian, Pizza, Mediterranean, European, Tuscan, Romana, Lazio, Sicilian, Sardinian, Central-Italian, Southern-Italian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,344
El Inca Plebeyo,"162 Essex Road, London N1 8LY England",+44 20 7704 9393,4.5,9.95 - 49.76,"Latin, Healthy, South American, Ecuadorean, Fusion",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,345
The Avocado Show - London Princes Street,"6 Princes Street, London W1B 2LG England",+44 7594 561103,4.5,17.92 - 24.88,"International, European, Contemporary, Healthy",,"Vegetarian Friendly, Vegan Options",,346
The Ninth,"22 Charlotte Street, London W1T 2NB England",+44 20 3019 0880,4.5,16.92 - 64.69,"French, Mediterranean, European",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,347
Kamasutra Indian Restaurant,"2 Holcombe Street, London W6 9JR England",+44 20 8748 5000,5.0,14.93 - 24.88,"Indian, Asian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,348
Grand Cholan Indian Cuisine,"3 Turnberry Quay Pepper Street, London E14 9RD England",+44 20 7515 6888,5.0,14.93 - 21.89,"Indian, Asian",,"Vegetarian Friendly, Vegan Options",,349
280 Degrees African Restaurant & Bar,"280 Kilburn High Road, London NW6 2BY England",+44 20 7328 8832,4.0,9.95 - 24.88,"African, Bar, Seafood, Pub, Soups, Nigerian","Lunch, Dinner, Late Night, Drinks",,,350
Silka,"6 - 8 Southwark Street Borough Market, London SE1 1TQ England",+44 20 7378 6161,4.5,11.95 - 34.84,Indian,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,351
The Rosebery,"66 Knightsbridge, London SW1X 7LA England",+44 20 7201 3828,4.5,,"European, British","Breakfast, Lunch, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,352
Amerigo Vespucci,"25 Cabot Sq, London E14 4Q4 England",+44 20 7513 0288,4.5,14.93 - 24.88,"Italian, Mediterranean, European, Sicilian, Southern-Italian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,353
The Clachan,"34 Kingly Street, London W1B 5QH England",+44 20 7494 0834,4.0,3.98 - 19.91,"Bar, British, Pub",,Vegetarian Friendly,,354
Hélène Darroze at The Connaught,"16 Carlos Place Mayfair, London W1K 2AL England",+44 20 3147 7200,4.5,74.65 - 174.17,French,,Gluten Free Options,,355
The Gardeners Pub,"Southfields 268 Merton Road, London SW18 5JL England",+44 20 3601 2455,4.5,3.95 - 19.78,"Bar, British, Pub",,Vegetarian Friendly,,356
Meraz,"56 Hanbury Street, London E1 5JL England",+44 20 7247 6999,4.5,10.28 - 18.99,"Indian, Asian, Bangladeshi",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,357
Rodfai Thai street food,"322 Uxbridge Road, London W3 9QP England",+44 20 8993 6363,5.0,7.96 - 29.86,"Asian, Thai",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,358
Colonel Saab,"193-197 High Holborn, London Holborn Town Hall, London WC1V 7BD England",+44 20 8016 6800,4.5,34.84 - 59.72,"Indian, International, Contemporary","Lunch, Dinner, Late Night, Drinks",,,359
Indian Zing,"236 King Street Hammersmith, London W6 0RF England",+44 20 8748 5959,4.5,19.91 - 49.76,"Indian, Asian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,360
The London Gin Club,"22 Great Chapel Street, London W1F 8FR England",+44 20 7223 5200,4.5,7.96 - 9.95,Bar,"Late Night, Drinks",,,361
Odette's Restaurant,"130 Regents Park Road Primrose Hill, London NW1 8XL England",+44 20 7586 8569,4.5,20.57 - 49.05,"European, British, Welsh",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,362
The Monkey Puzzle,"30 Southwick Street, London W2 1JQ England",+44 20 7723 0143,4.5,,"Bar, British, Pub","Lunch, Dinner, Brunch, Late Night, Drinks","Vegetarian Friendly, Gluten Free Options",,363
Bella Italia,"10 Irving Street Charing Cross, London WC2H 7AT England",+44 20 3004 4193,4.0,6.97 - 15.92,"Italian, Pizza",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,364
Oslo Court,"Charlbert St, London NW8 7EN England",+44 20 7722 8795,4.5,,"European, British","Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options",,365
The Grill at The Dorchester,"53 Park Lane The Dorchester Hotel, London W1K 1QA England",+44 20 7629 8888,4.5,,"European, British, Grill","Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options",,366
The Hampshire,"225-227 King Street Hammersmith, London W6 9JT England",+44 20 8748 3391,5.0,9.95 - 49.76,Indian,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,367
Chez Antoinette,"The Piazza Lower floor, London WC2E 8RE England",+44 20 7240 9072,4.5,3.98 - 11.95,"French, European, Healthy",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,368
Peter's Cafe,"73 Aldgate High Street Tower, London EC3N 1BD England",+44 20 7481 9937,4.5,,Cafe,"Breakfast, Lunch, Brunch","Vegetarian Friendly, Vegan Options",,369
Cora Pearl Restaurant,"30 Henrietta Street Covent Garden, London WC2E 8NA England",+44 20 7324 7722,4.5,,"European, British","Lunch, Dinner","Vegetarian Friendly, Gluten Free Options",,370
Chimichurris,"132 Southwark Bridge Road, London SE1 0DG England",+44 20 7928 7414,5.0,13.93 - 33.84,"Steakhouse, Barbecue, Argentinean, Grill",,"Vegetarian Friendly, Gluten Free Options",,371
Lobby Bar at One Aldwych,"1 Aldwych One Aldwych Hotel, London WC2B 4BZ England",+44 20 7300 1070,4.5,,"British, Bar, Wine Bar","Breakfast, Lunch, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,372
Bizzarro,"18-22 Craven Road, London W2 3PX England",+44 20 7723 6029,4.5,,"Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Romana, Lazio, Central-Italian, Southern-Italian","Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options",,373
Steak and Company Covent Garden,"4-6 Garrick Street Covent Garden, London WC2E 9BH England",+44 20 7379 0412,4.5,,"Steakhouse, British","Lunch, Dinner, Late Night",Gluten Free Options,,374
Arro Coffee - Bayswater,"77 Bishops Bridge Road Notting Hill, London W2 6BG England",+44 20 7221 4600,4.5,2.99 - 14.93,"Italian, Cafe",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,375
Restaurant Story,"199 Tooley Street, London SE1 2JX England",+44 20 7183 2117,4.5,,"European, British","Lunch, Dinner, Late Night","Vegetarian Friendly, Gluten Free Options",,376
Masala,"88 Brick Lane, London E1 6RL England",+44 20 7539 9448,4.0,14.93 - 24.88,Indian,,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,377
Beirut Nights,"19 Abbey Road, London NW10 7RB England",+44 20 8961 2101,4.5,7.96 - 19.91,"Lebanese, Mediterranean, Middle Eastern",,"Vegetarian Friendly, Vegan Options, Halal",,378
The Empress,"141 Leman Street, London E1 8EY England",+44 20 7265 0745,4.5,9.95 - 19.91,"Indian, Asian, Balti, Bangladeshi",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,379
The Hampshire,"225-227 King Street Hammersmith, London W6 9JT England",+44 20 8748 3391,5.0,9.95 - 49.76,Indian,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,380
All Bar One Holborn,"58 Kingsway, London WC2B 6DX England",+44 20 7269 5171,4.0,4.97 - 16.92,"Bar, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,381
Los Molinos,"Brook Green 127 Shepherds Bush Road, London W6 7LP England",+44 20 7603 2229,4.5,32.44 - 32.44,"Mediterranean, European, Spanish",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,382
Honest Burgers Baker St,"31 Paddington Street, London W1U 4HD England",+44 20 3019 6566,4.5,8.96 - 14.93,"British, American",,"Vegan Options, Vegetarian Friendly, Gluten Free Options",,383
The Blue Door Bistro,"15 Montague Street Bloomsbury, London WC1B 5BJ England",+442076371001,4.5,34.84 - 59.72,"British, Soups, European",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,384
Kings Chinese Takeaway,"119 Junction Road, London N19 5PX England",+44 20 7272 1138,3.0,,"Chinese, Asian, Street Food",Dinner,Vegetarian Friendly,,385
Babur Restaurant,"119 Brockley Rise Forest Hill, London SE23 1JP England",+44 20 8291 2400,4.5,14.93 - 31.85,"Indian, Asian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,386
Prince Alfred & Formosa Dining Room,"5A Formosa Street, London W9 1EE England",+44 20 7286 3287,4.0,9.95 - 21.89,Contemporary,,Vegetarian Friendly,,387
Marcus,"Knightsbridge Wilton Place, London SW1X 7RL England",+44 20 7235 1200,4.5,59.72 - 184.12,"European, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,388
Mildreds King's Cross,"200 Pentonville Road, London N1 9JP England",+44 20 7278 9422,4.5,,"British, Healthy, International","Lunch, Dinner, Brunch, Drinks","Vegan Options, Vegetarian Friendly, Gluten Free Options",,389
TigerBay Shisha Lounge,"234 Kingsbury Road, London NW9 0BH England",+44 7741 656676,4.5,,"Bar, Asian, International","Lunch, Dinner, Late Night, Drinks","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,390
NOPI - Downstairs,"21-22 Warwick Street, London W1B 5NE England",+44 20 7494 9584,4.5,32.44 - 59.33,Mediterranean,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,391
Zoilo,"9 Duke Street, London W1U 3AZ England",+44 20 7486 9699,4.5,,"Argentinean, South American","Lunch, Dinner","Vegetarian Friendly, Gluten Free Options",,392
The Queens Head Piccadilly,"15 Denman Street Piccadilly, London W1D 7HN England",+44 20 7437 1540,4.5,8.96 - 15.92,"Bar, British, Pub",,"Vegetarian Friendly, Gluten Free Options",,393
Dans Le Noir ?,"69-73 St. John Street 69-73 St John Street, London EC1M 4AN England",+44 20 7253 1100,4.0,47.77 - 99.53,"International, European",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,394
Hanwoo Village Korean BBQ Restaurant,"18-19 St. Albans Place Hanwoo Village Korean bbq restaurant, London N1 0NX England",+44 20 7288 1123,4.5,,"Asian, Korean, Grill, Healthy",Lunch,,"Takeout, Outdoor Seating, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Family style",395
Ponti's Italian Kitchen - John Princes Street,"5-7 John Princes Street Oxford Circus, London W1G 0JN England",+44 20 3230 3018,4.5,9.95 - 27.87,"Italian, Pizza, European, Wine Bar",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,396
Bob’s Cafe Queens Park,"77 Salusbury Road, London NW6 6NH England",+44 20 7372 3442,4.5,4.97 - 39.81,British,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,397
